delta_usdcny,w_30pct,w_40pct,w_50pct,w_60pct,w_70pct
-0.08,8.3967,8.3279,8.2591,8.1902,8.1214
-0.07,8.4225,8.3623,8.3021,8.2418,8.1816
-0.06,8.4483,8.3967,8.3451,8.2935,8.2418
-0.05,8.4741,8.4311,8.3881,8.3451,8.3021
-0.04,8.4999,8.4655,8.4311,8.3967,8.3623
-0.03,8.5258,8.4999,8.4741,8.4483,8.4225
-0.02,8.5516,8.5344,8.5171,8.4999,8.4827
-0.01,8.5774,8.5688,8.5602,8.5516,8.543
0,8.6032,8.6032,8.6032,8.6032,8.6032
0.01,8.629,8.6376,8.6462,8.6548,8.6634
0.02,8.6548,8.672,8.6892,8.7064,8.7236
0.03,8.6806,8.7064,8.7322,8.758,8.7838
0.04,8.7064,8.7408,8.7752,8.8097,8.8441
0.05,8.7322,8.7752,8.8183,8.8613,8.9043
0.06,8.758,8.8097,8.8613,8.9129,8.9645
0.07,8.7838,8.8441,8.9043,8.9645,9.0247
0.08,8.8097,8.8785,8.9473,9.0161,9.085
